form_id,sense_id,headword,form_type,form_word,source,human_review,review_reason
door_n_1_form_1,door_n_1,door,plural,doors,ECDICT.exchange,F,
garden_n_1_form_1,garden_n_1,garden,plural,gardens,ECDICT.exchange,F,
table_n_1_form_1,table_n_1,table,plural,tables,ECDICT.exchange,F,
chair_n_1_form_1,chair_n_1,chair,plural,chairs,ECDICT.exchange,F,
hall_n_1_form_1,hall_n_1,hall,plural,halls,ECDICT.exchange,F,
roof_n_1_form_1,roof_n_1,roof,plural,roofs,ECDICT.exchange,F,
bed_n_1_form_1,bed_n_1,bed,plural,beds,ECDICT.exchange,F,
yard_n_1_form_1,yard_n_1,yard,plural,yards,ECDICT.exchange,F,
ceiling_n_1_form_1,ceiling_n_1,ceiling,plural,ceilings,ECDICT.exchange,F,
desk_n_1_form_1,desk_n_1,desk,plural,desks,ECDICT.exchange,F,
light_n_1_form_1,light_n_1,light,plural,lights,ECDICT.exchange,F,
entrance_n_1_form_1,entrance_n_1,entrance,plural,entrances,ECDICT.exchange,F,
garage_n_1_form_1,garage_n_1,garage,plural,garages,ECDICT.exchange,F,
shelf_n_1_form_1,shelf_n_1,shelf,plural,shelves,ECDICT.exchange,F,
key_n_1_form_1,key_n_1,key,plural,keys,ECDICT.exchange,F,
mirror_n_1_form_1,mirror_n_1,mirror,plural,mirrors,ECDICT.exchange,F,
carpet_n_1_form_1,carpet_n_1,carpet,plural,carpets,ECDICT.exchange,F,
lamp_n_1_form_1,lamp_n_1,lamp,plural,lamps,ECDICT.exchange,F,
lock_n_1_form_2,lock_n_1,lock,plural,locks,ECDICT.exchange,F,
shower_n_1_form_1,shower_n_1,shower,plural,showers,ECDICT.exchange,F,
cabinet_n_1_form_1,cabinet_n_1,cabinet,plural,cabinets,ECDICT.exchange,F,
curtain_n_1_form_1,curtain_n_1,curtain,plural,curtains,ECDICT.exchange,F,
balcony_n_1_form_1,balcony_n_1,balcony,plural,balconies,ECDICT.exchange,F,
toilet_n_1_form_1,toilet_n_1,toilet,plural,toilets,ECDICT.exchange,F,
closet_n_1_form_1,closet_n_1,closet,plural,closets,ECDICT.exchange,F,
drawer_n_1_form_1,drawer_n_1,drawer,plural,drawers,ECDICT.exchange,F,
couch_n_1_form_2,couch_n_1,couch,plural,couches,ECDICT.exchange,F,
wardrobe_n_1_form_1,wardrobe_n_1,wardrobe,plural,wardrobes,ECDICT.exchange,F,
