id,word_id,sense_id,ipa_us,audio_path,source_id,human_review
e0c2ba58-692b-5868-8ad0-3fe96ddfbf38,1aeb3361-4bac-5f9d-b4dd-a3556f0f575d,3da62256-c643-5307-9958-89b6f43ba525,/ˈhelθi/,,b3335777-dc5f-5448-a777-923e6115c08c,false
1734cc7c-2024-58c7-a182-beb90cdc410f,f266ac47-11b0-5e60-9a1d-437534a05ecd,f8470e60-0e8c-56bd-914e-c557612687d7,/wiːk/,,b3335777-dc5f-5448-a777-923e6115c08c,false
4bcc4a2e-5563-5410-81b7-4ebdab0a3ebb,797332ab-a150-5b16-8553-ea284a052e1c,35493e1c-2884-5b0e-af70-68914b90ef25,/hænd/,,b3335777-dc5f-5448-a777-923e6115c08c,false
69958c9e-95c0-5a10-bb23-72b7c59dc2db,98083952-a3dd-5fae-ba0d-6b3afaa840ca,6e64c985-ff2a-5a01-9124-ecbc3646c82f,/fʊt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
e4840b8a-007f-54a3-ad8a-c59f724767c1,0628a3aa-c60d-5033-b4ba-a6e3ee73b2b7,d1ed4a9c-7842-5414-9de5-8f400b5662f6,/hed/,,b3335777-dc5f-5448-a777-923e6115c08c,false
1456dc46-0f3b-5385-8e99-5e0d1dacdc06,15a42da7-5147-5479-9335-9f8eaaea45e2,4d821d2d-3e86-5b54-b816-520d416ff979,/ˈbɑːdi/,,b3335777-dc5f-5448-a777-923e6115c08c,false
a09c6f6f-f6fe-57b9-89ba-d388e608db83,1cb14623-1200-5ba7-a056-f2deff8b2cff,947e0e3a-a3f0-5bf0-af58-dc9480d04017,/ɑːrm/,,b3335777-dc5f-5448-a777-923e6115c08c,false
97af0337-cec4-50cd-98ea-e4b95666c6e0,3833f038-4cc6-5319-b24c-0acd97f6cae7,b484ebee-6873-5b66-94a7-25f82a549c06,/nəʊz/,,b3335777-dc5f-5448-a777-923e6115c08c,false
84ff7be3-0b4e-5796-8e73-5274386262c6,3c6e83b7-618d-57fa-8e52-50a19dadd32f,7c0ffc26-c970-5638-94ad-7d256b25dd8d,/maʊθ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
1f20f364-d588-552e-ac8c-cbd98ed6e034,77ef53bb-328f-59b6-9898-d72b4e2649a4,53ad78bd-d644-5575-8cca-9fb1a76d6fcb,/ˈtʃaɪldhʊd/,,b3335777-dc5f-5448-a777-923e6115c08c,false
2cf472c3-6184-5ee5-9ef0-a25c1a045065,0cb2efad-9d61-5b61-9d81-2797e509e2b8,26738ba2-e2d0-5ccf-b434-9a93f1d9b439,/skɪn/,,b3335777-dc5f-5448-a777-923e6115c08c,false
bc8b2d54-7c4e-5c18-a76c-4f8300a2c9c4,90585c4f-48f5-559c-8316-ea13c588c04c,f35b3ef4-4f5c-5ac8-bdc5-585516c726c0,/ɪr/,,b3335777-dc5f-5448-a777-923e6115c08c,false
e2a5fe0b-4aa5-5e32-8331-99be2459b6cc,432fe844-b79d-537b-8462-3c15ddb37834,93cf2c78-8fd9-57e9-939e-2b9da00cd239,/leɡ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
1b8d8ab0-2500-5d04-9a21-85446dae184c,3ed5237b-36e6-53e4-8573-a966df7525fa,450550ba-e299-5612-a11b-89aa0b30f03f,/tuːθ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
ec5b2a00-2f56-54f9-90c0-6d49fbbe650f,d5caab91-baa7-5ed3-9797-ef9353f694aa,9235cae8-7063-56ae-b9ab-674542ddf5db,/ˈsɪŋɡl/,,b3335777-dc5f-5448-a777-923e6115c08c,false
9b757587-762a-5417-8e69-f328805de94d,960743a8-92c0-5f06-b3b2-678fae636019,244be9df-1d0d-5f95-99fc-c3a34f45c3f2,/lʊk/,,b3335777-dc5f-5448-a777-923e6115c08c,false
0d4971bb-9997-5531-9bb9-a69110f95fdf,81f8e222-59c9-5600-8954-245c78d2fca4,81d3908d-2fed-5641-8960-ca7e2f7e01f8,/læf/,,b3335777-dc5f-5448-a777-923e6115c08c,false
